[ 2023-08-30 21:04:22,292 ] 28 root - vectorization is sucessfully created
[ 2023-08-30 21:04:22,294 ] 31 root - pickle file is created
[ 2023-08-30 21:04:22,566 ] 34 root - recommend process1 started
[ 2023-08-30 21:04:22,567 ] 35 root - pickle load!
[ 2023-08-30 21:04:22,568 ] 37 root - pickle loading process sucessful
[ 2023-08-30 21:04:23,026 ] 20 root - data paths created !
[ 2023-08-30 21:04:23,026 ] 24 root - enter the data ingestion part 2
[ 2023-08-30 21:04:23,259 ] 26 root - data has read sucessfuly
[ 2023-08-30 21:04:23,262 ] 41 root - dataframe had created sucessfuly
[ 2023-08-30 21:04:23,263 ] 43 root - directory has created
[ 2023-08-30 21:04:24,093 ] 47 root - data ingest sucessfully
[ 2023-08-30 21:04:24,097 ] 19 root - entered data transformation
[ 2023-08-30 21:04:24,149 ] 21 root - data read sucessfully for transformation!
[ 2023-08-30 21:04:24,153 ] 23 root - dropped duplicates
[ 2023-08-30 21:04:24,164 ] 25 root - data transformed sucess
[ 2023-08-30 21:04:24,260 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 21:04:24] "POST / HTTP/1.1" 200 -
[ 2023-08-30 21:04:24,260 ] 28 root - vectorization is sucessfully created
[ 2023-08-30 21:04:24,263 ] 31 root - pickle file is created
[ 2023-08-30 21:04:24,521 ] 34 root - recommend process1 started
[ 2023-08-30 21:04:24,521 ] 35 root - pickle load!
[ 2023-08-30 21:04:24,522 ] 37 root - pickle loading process sucessful
[ 2023-08-30 21:04:25,792 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 21:04:25] "POST / HTTP/1.1" 200 -
[ 2023-08-30 21:04:30,171 ] 20 root - data paths created !
[ 2023-08-30 21:04:30,172 ] 24 root - enter the data ingestion part 2
[ 2023-08-30 21:04:30,322 ] 26 root - data has read sucessfuly
[ 2023-08-30 21:04:30,324 ] 41 root - dataframe had created sucessfuly
[ 2023-08-30 21:04:30,324 ] 43 root - directory has created
[ 2023-08-30 21:04:30,739 ] 47 root - data ingest sucessfully
[ 2023-08-30 21:04:30,742 ] 19 root - entered data transformation
[ 2023-08-30 21:04:30,767 ] 21 root - data read sucessfully for transformation!
[ 2023-08-30 21:04:30,771 ] 23 root - dropped duplicates
[ 2023-08-30 21:04:30,780 ] 25 root - data transformed sucess
[ 2023-08-30 21:04:30,841 ] 28 root - vectorization is sucessfully created
[ 2023-08-30 21:04:30,842 ] 31 root - pickle file is created
[ 2023-08-30 21:04:30,998 ] 34 root - recommend process1 started
[ 2023-08-30 21:04:30,998 ] 35 root - pickle load!
[ 2023-08-30 21:04:30,999 ] 37 root - pickle loading process sucessful
[ 2023-08-30 21:04:31,033 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 21:04:31] "[35m[1mPOST / HTTP/1.1[0m" 500 -
[ 2023-08-30 21:04:31,045 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 21:04:31] "[36mGET /?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
[ 2023-08-30 21:04:31,046 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 21:04:31] "[36mGET /?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
[ 2023-08-30 21:04:31,066 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 21:04:31] "[36mGET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2023-08-30 21:04:31,083 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 21:04:31] "[36mGET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2023-08-30 21:06:14,693 ] 186 werkzeug -  * Detected change in 'c:\\Users\\manoj\\Desktop\\music_recommendation\\src\\components\\model_process.py', reloading
[ 2023-08-30 21:06:14,934 ] 186 werkzeug -  * Restarting with stat
[ 2023-08-30 21:06:15,797 ] 186 werkzeug -  * Detected change in 'c:\\Users\\manoj\\Desktop\\music_recommendation\\src\\components\\model_process.py', reloading
[ 2023-08-30 21:06:16,078 ] 186 werkzeug -  * Restarting with stat
[ 2023-08-30 21:06:16,472 ] 13 root -  vectorization paths are created
[ 2023-08-30 21:06:16,512 ] 10 root - data ingest started!
[ 2023-08-30 21:06:16,512 ] 15 root - paths are created for data
